127.0.0.1 - - [16/Aug/2021:15:34:41 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:46 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:46 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:34:50 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:14 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:16 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:31 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:35:31 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:50:13 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [16/Aug/2021:15:50:51 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1701
